State,County,,,,,,,,AOR,,"Activation
Date",,,Submissions,,,Misdemeanor Matches,Felony Matches,,,Total Matches,"Convicted
Criminals L1",Misdemeanor Returns,,"Convicted
Criminals L2",,"Convicted
Criminals L3",Felony Returns,,"ICE Fugitives
1,2",,,"Prior
Removals and Returns1,3",,,,"EWIs, Visa
Violators and Overstays1",No Criminal Conviction Return,,Total Returns
CA,Los Angeles,,,,,,,,LOS,,8/27/2009,,,"1,298,448",,,"30,736","104,342",,,"135,078",11053,,,5332,,6505,11837,,747,,,4141,,,,1494,6382,,"29,272"
AZ,Maricopa,,,,,,,,PHO,,1/16/2009,,,"1,078,364",,,"22,432","67,955",,,"90,387",7005,,,2998,,6924,9922,,92,,,3176,,,,1093,4361,,"21,288"
FL,Miami?Dade,,,,,,,,MIA,,2/24/2009,,,"431,534",,,"23,697","51,804",,,"75,501",1001,,,403,,655,1058,,664,,,744,,,,474,1882,,"3,941"
TX,Harris,,,,,,,,HOU,,10/27/2008,,,"606,773",,,"9,408","46,307",,,"55,715",5742,,,4207,,7391,11598,,351,,,1000,,,,434,1785,,"19,125"
CA,San Diego,,,,,,,,SND,,5/26/2009,,,"484,110",,,"11,844","34,821",,,"46,665",4323,,,1654,,4629,6283,,77,,,2761,,,,550,3388,,"13,994"
CA,Orange,,,,,,,,LOS,,3/16/2010,,,"321,824",,,"13,757","32,773",,,"46,530",3908,,,2328,,1841,4169,,159,,,741,,,,381,1281,,"9,358"
NY,New York City,,,,,,,,NYC,,5/15/2012,,,"333,103",,,"14,042","24,233",,,"38,275",150,,,80,,147,227,,98,,,181,,,,23,302,,679
TX,Dallas,,,,,,,,DAL,,11/12/2008,,,"311,948",,,"5,323","19,034",,,"24,357",2118,,,1301,,2622,3923,,143,,,1193,,,,347,1683,,"7,724"
CA,San Bernardino,,,,,,,,LOS,,4/13/2010,,,"283,554",,,"4,112","11,908",,,"16,020",1180,,,601,,948,1549,,64,,,977,,,,181,1222,,"3,951"
TX,El Paso,,,,,,,,ELP,,6/17/2009,,,"78,583",,,"4,072","11,888",,,"15,960",1222,,,1029,,3561,4590,,5,,,541,,,,398,944,,"6,756"
FL,Broward,,,,,,,,MIA,,8/25/2009,,,"181,035",,,"4,142","11,560",,,"15,702",284,,,155,,228,383,,158,,,223,,,,171,552,,"1,219"
TX,Walker,,,,,,,,HOU,,9/14/2010,,,"280,572",,,"8,784","6,841",,,"15,625",2058,,,964,,539,1503,,2,,,16,,,,7,25,,"3,586"
NV,Clark,,,,,,,,SLC,,7/27/2010,,,"198,679",,,"4,152","9,802",,,"13,954",630,,,277,,504,781,,102,,,546,,,,365,1013,,"2,424"
CA,Riverside,,,,,,,,LOS,,5/11/2010,,,"185,150",,,"3,102","9,218",,,"12,320",864,,,461,,709,1170,,42,,,1024,,,,136,1202,,"3,236"
GA,Gwinnett,,,,,,,,ATL,,11/17/2009,,,"101,026",,,"1,763","10,416",,,"12,179",591,,,529,,1035,1564,,101,,,465,,,,169,735,,"2,890"
CA,Santa Clara,,,,,,,,SFR,,5/4/2010,,,"125,785",,,"3,012","9,098",,,"12,110",565,,,456,,542,998,,11,,,185,,,,29,225,,"1,788"
CA,Kern,,,,,,,,SFR,,9/14/2010,,,"182,939",,,"5,000","6,861",,,"11,861",611,,,438,,911,1349,,8,,,410,,,,63,481,,"2,441"
TX,Hidalgo,,,,,,,,SNA,,6/10/2009,,,"73,740",,,"3,871","7,795",,,"11,666",1509,,,1261,,1316,2577,,11,,,528,,,,193,732,,"4,818"
VA,Fairfax,,,,,,,,WAS,,3/9/2009,,,"71,238",,,"2,566","8,705",,,"11,271",574,,,316,,378,694,,164,,,144,,,,63,371,,"1,639"
CA,Contra Costa,,,,,,,,SFR,,4/6/2010,,,"128,213",,,"2,536","8,626",,,"11,162",509,,,286,,529,815,,129,,,430,,,,215,774,,"2,098"
FL,Hillsborough,,,,,,,,MIA,,2/24/2009,,,"241,004",,,"2,479","8,447",,,"10,926",332,,,174,,220,394,,81,,,247,,,,75,403,,"1,129"
CA,Alameda,,,,,,,,SFR,,4/20/2010,,,"159,990",,,"2,049","8,826",,,"10,875",478,,,301,,597,898,,59,,,504,,,,74,637,,"2,013"
CA,Ventura,,,,,,,,LOS,,7/22/2009,,,"117,007",,,"1,914","8,879",,,"10,793",738,,,464,,945,1409,,41,,,702,,,,94,837,,"2,984"
TX,Travis,,,,,,,,SNA,,6/16/2009,,,"140,984",,,"2,253","7,524",,,"9,777",1057,,,846,,1377,2223,,32,,,385,,,,131,548,,"3,828"
CA,Sacramento,,,,,,,,SFR,,1/12/2010,,,"164,518",,,"3,200","6,420",,,"9,620",745,,,424,,441,865,,67,,,365,,,,138,570,,"2,180"
FL,Orange,,,,,,,,MIA,,4/6/2010,,,"201,533",,,"2,682","6,684",,,"9,366",180,,,112,,164,276,,89,,,201,,,,59,349,,805
FL,Palm Beach,,,,,,,,MIA,,4/6/2010,,,"116,912",,,"2,600","6,352",,,"8,952",167,,,112,,212,324,,117,,,256,,,,67,440,,931
FL,Collier,,,,,,,,MIA,,2/24/2009,,,"46,380",,,"1,232","7,488",,,"8,720",351,,,399,,589,988,,57,,,135,,,,187,379,,"1,718"
TN,Davidson,,,,,,,,NOL,,8/10/2010,,,"178,033",,,"1,178","7,538",,,"8,716",234,,,264,,583,847,,25,,,66,,,,65,156,,"1,237"
NC,Wake,,,,,,,,ATL,,11/12/2008,,,"134,583",,,"1,076","7,369",,,"8,445",451,,,326,,565,891,,58,,,476,,,,168,702,,"2,044"
CA,Fresno,,,,,,,,SFR,,3/23/2010,,,"131,308",,,"2,759","5,637",,,"8,396",493,,,263,,395,658,,14,,,571,,,,77,662,,"1,813"
CA,Imperial,,,,,,,,SND,,9/9/2009,,,"34,142",,,"3,116","4,884",,,"8,000",1767,,,838,,748,1586,,2,,,299,,,,50,351,,"3,704"
