,"Activation Date","EWIs, Visa Violators and Overstays1",Misdemeanor Returns,Total Matches,Misdemeanor Matches,"Convicted
Criminals L3","Convicted Criminals L2",Felony Matches,County,"Convicted Criminals L1",State,No Criminal Conviction Return,fips,AOR,Total Returns,"Prior Removals and Returns1,3",Felony Returns,Submissions,"ICE Fugitives1,2"

,8/27/2009,1494,,"135,078","30,736",6505,5332,"104,342",Los Angeles,11053,CA,6382,06037,LOS,"29,272",4141,11837,"1,298,448",747

,1/16/2009,1093,,"90,387","22,432",6924,2998,"67,955",Maricopa,7005,AZ,4361,04013,PHO,"21,288",3176,9922,"1,078,364",92

,2/24/2009,474,,"75,501","23,697",655,403,"51,804",Miami?Dade,1001,FL,1882,12086,MIA,"3,941",744,1058,"431,534",664

,10/27/2008,434,,"55,715","9,408",7391,4207,"46,307",Harris,5742,TX,1785,48201,HOU,"19,125",1000,11598,"606,773",351

,5/26/2009,550,,"46,665","11,844",4629,1654,"34,821",San Diego,4323,CA,3388,06073,SND,"13,994",2761,6283,"484,110",77

,3/16/2010,381,,"46,530","13,757",1841,2328,"32,773",Orange,3908,CA,1281,06059,LOS,"9,358",741,4169,"321,824",159

,5/15/2012,23,,"38,275","14,042",147,80,"24,233",New York City,150,NY,302,,NYC,679,181,227,"333,103",98

,11/12/2008,347,,"24,357","5,323",2622,1301,"19,034",Dallas,2118,TX,1683,48113,DAL,"7,724",1193,3923,"311,948",143

,4/13/2010,181,,"16,020","4,112",948,601,"11,908",San Bernardino,1180,CA,1222,06071,LOS,"3,951",977,1549,"283,554",64

,6/17/2009,398,,"15,960","4,072",3561,1029,"11,888",El Paso,1222,TX,944,48141,ELP,"6,756",541,4590,"78,583",5

,8/25/2009,171,,"15,702","4,142",228,155,"11,560",Broward,284,FL,552,12011,MIA,"1,219",223,383,"181,035",158

,9/14/2010,7,,"15,625","8,784",539,964,"6,841",Walker,2058,TX,25,48471,HOU,"3,586",16,1503,"280,572",2

,7/27/2010,365,,"13,954","4,152",504,277,"9,802",Clark,630,NV,1013,32003,SLC,"2,424",546,781,"198,679",102

,5/11/2010,136,,"12,320","3,102",709,461,"9,218",Riverside,864,CA,1202,06065,LOS,"3,236",1024,1170,"185,150",42

,11/17/2009,169,,"12,179","1,763",1035,529,"10,416",Gwinnett,591,GA,735,13135,ATL,"2,890",465,1564,"101,026",101

,5/4/2010,29,,"12,110","3,012",542,456,"9,098",Santa Clara,565,CA,225,06085,SFR,"1,788",185,998,"125,785",11

,9/14/2010,63,,"11,861","5,000",911,438,"6,861",Kern,611,CA,481,06029,SFR,"2,441",410,1349,"182,939",8

,6/10/2009,193,,"11,666","3,871",1316,1261,"7,795",Hidalgo,1509,TX,732,48215,SNA,"4,818",528,2577,"73,740",11

,3/9/2009,63,,"11,271","2,566",378,316,"8,705",Fairfax,574,VA,371,51059,WAS,"1,639",144,694,"71,238",164

,4/6/2010,215,,"11,162","2,536",529,286,"8,626",Contra Costa,509,CA,774,06013,SFR,"2,098",430,815,"128,213",129

,2/24/2009,75,,"10,926","2,479",220,174,"8,447",Hillsborough,332,FL,403,12057,MIA,"1,129",247,394,"241,004",81

,4/20/2010,74,,"10,875","2,049",597,301,"8,826",Alameda,478,CA,637,06001,SFR,"2,013",504,898,"159,990",59

,7/22/2009,94,,"10,793","1,914",945,464,"8,879",Ventura,738,CA,837,06111,LOS,"2,984",702,1409,"117,007",41

,6/16/2009,131,,"9,777","2,253",1377,846,"7,524",Travis,1057,TX,548,48453,SNA,"3,828",385,2223,"140,984",32

,1/12/2010,138,,"9,620","3,200",441,424,"6,420",Sacramento,745,CA,570,06067,SFR,"2,180",365,865,"164,518",67

,4/6/2010,59,,"9,366","2,682",164,112,"6,684",Orange,180,FL,349,12095,MIA,805,201,276,"201,533",89

,4/6/2010,67,,"8,952","2,600",212,112,"6,352",Palm Beach,167,FL,440,12099,MIA,931,256,324,"116,912",117

,2/24/2009,187,,"8,720","1,232",589,399,"7,488",Collier,351,FL,379,12021,MIA,"1,718",135,988,"46,380",57

,8/10/2010,65,,"8,716","1,178",583,264,"7,538",Davidson,234,TN,156,47037,NOL,"1,237",66,847,"178,033",25

,11/12/2008,168,,"8,445","1,076",565,326,"7,369",Wake,451,NC,702,37183,ATL,"2,044",476,891,"134,583",58

,3/23/2010,77,,"8,396","2,759",395,263,"5,637",Fresno,493,CA,662,06019,SFR,"1,813",571,658,"131,308",14

,9/9/2009,50,,"8,000","3,116",748,838,"4,884",Imperial,1767,CA,351,06025,SND,"3,704",299,1586,"34,142",2

,11/17/2009,73,,"7,847","1,132",418,220,"6,715",DeKalb,262,GA,422,13089,ATL,"1,322",284,638,"102,355",65

,6/16/2009,71,,"7,621","1,617",904,541,"6,004",Bexar,657,TX,234,48029,SNA,"2,336",142,1445,"171,080",21

,8/18/2009,73,,"7,065","1,737",625,412,"5,328",Tarrant,423,TX,379,48439,DAL,"1,839",290,1037,"134,960",16

,4/6/2010,56,,"6,644",987,587,257,"5,657",Monterey,365,CA,697,06053,SFR,"1,906",630,844,"56,288",11

,3/23/2010,72,,"6,603","2,068",347,354,"4,535",Salt Lake,707,UT,403,49035,SLC,"1,811",309,701,"119,711",22

